,Side Length,Bandwidth,best epoch$_a$,prec1$_a$ max,prec1 at epoch$_a$,prec5 at epoch$_a$,prec5$_a$ at epoch$_a$,prec1$_a$ at epoch 26,prec5$_a$ at epoch 26,prec1$_a$-prec1,prec5$_a$-prec5
0,1000,500,36,11.555406,93.161964,99.395164,13.63314,11.527404,13.627539,-81.60656,-85.762024
1,1000,1000,36,32.034054,93.161964,99.395164,34.615818,32.01165,34.643814,-61.12791,-64.77934
2,1000,1500,36,53.401283,93.161964,99.395164,56.823105,53.373287,56.851105,-39.76068,-42.57206
3,1000,2000,36,70.930405,93.161964,99.395164,75.08587,70.9136,75.16429,-22.23156,-24.309296
4,1000,3000,26,89.91936,93.07796,99.462364,94.94288,89.91936,94.94288,-3.1585999,-4.5194855
5,1000,4000,26,93.32438,93.07796,99.462364,98.650314,93.32438,98.650314,0.24642181,-0.81204987
6,2000,500,36,12.621342,93.161964,99.395164,14.721473,12.576538,14.721475,-80.54062,-84.67369
7,2000,1000,36,33.361336,93.161964,99.395164,36.038307,33.338936,36.027107,-59.80063,-63.356857
8,2000,1500,36,54.683773,93.161964,99.395164,58.2344,54.66137,58.273605,-38.47819,-41.160763
9,2000,2000,36,71.81713,93.161964,99.395164,76.02301,71.80033,76.0062,-21.344833,-23.372154
10,2000,3000,26,90.17323,93.07796,99.462364,95.28078,90.17323,95.28078,-2.9047241,-4.181587
11,2000,4000,26,93.31878,93.07796,99.462364,98.633514,93.31878,98.633514,0.24082184,-0.8288498
12,3000,500,36,13.816086,93.161964,99.395164,15.944221,13.765681,15.921819,-79.34588,-83.45094
13,3000,1000,36,34.683025,93.161964,99.395164,37.432796,34.64942,37.438396,-58.47894,-61.962368
14,3000,1500,36,55.84305,93.161964,99.395164,59.47768,55.820637,59.47768,-37.318916,-39.917484
15,3000,2000,36,72.785995,93.161964,99.395164,77.04787,72.763596,77.05907,-20.375969,-22.347298
16,3000,3000,26,90.53165,93.07796,99.462364,95.62799,90.53165,95.62799,-2.5463104,-3.8343735
17,3000,4000,26,93.32438,93.07796,99.462364,98.64472,93.32438,98.64472,0.24642181,-0.8176422
18,4000,500,36,14.756945,93.161964,99.395164,16.873878,14.700941,16.90188,-78.40502,-82.521286
19,4000,1000,36,36.275387,93.161964,99.395164,39.041965,36.25299,39.08117,-56.886578,-60.3532
20,4000,1500,36,57.00792,93.161964,99.395164,60.659348,56.991116,60.65935,-36.154045,-38.735817
21,4000,2000,36,73.603645,93.161964,99.395164,77.97194,73.592445,77.96633,-19.55832,-21.423225
22,4000,3000,26,90.800476,93.07796,99.462364,95.936,90.800476,95.936,-2.277481,-3.5263672
23,4000,4000,26,93.32438,93.07796,99.462364,98.63912,93.32438,98.63912,0.24642181,-0.8232422
