,Sample Radius,best epoch$_a$,prec1$_a$ max,prec1 at epoch$_a$,prec5 at epoch$_a$,prec5$_a$ at epoch$_a$,prec1$_a$ at epoch 26,prec5$_a$ at epoch 26,prec1$_a$-prec1,prec5$_a$-prec5
0,10,26,93.38599,93.38038,99.29436,99.29436,93.38599,99.29436,0.005607605,0.0
1,20,26,93.38599,93.38038,99.29436,99.29436,93.38599,99.29436,0.005607605,0.0
2,30,26,93.39157,93.38038,99.29436,99.29436,93.39157,99.29436,0.011192322,0.0
3,40,26,93.39157,93.38038,99.29436,99.29436,93.39157,99.29436,0.011192322,0.0
4,50,26,93.38038,93.38038,99.29436,99.29436,93.38038,99.29436,0.0,0.0
5,100,26,93.38038,93.38038,99.29436,99.29436,93.38038,99.29436,0.0,0.0
6,200,26,93.38038,93.38038,99.29436,99.29436,93.38038,99.29436,0.0,0.0
7,300,26,93.38038,93.38038,99.29436,99.29436,93.38038,99.29436,0.0,0.0
8,400,26,93.38038,93.38038,99.29436,99.29436,93.38038,99.29436,0.0,0.0
9,500,26,93.38038,93.38038,99.29436,99.29436,93.38038,99.29436,0.0,0.0
